🐾  SIRUK PET SHOP — Starter Inventory List  (corrected & complete),,,,,,,,,,,
Royal Canin cat range fully included · 6 vendor price lists · Prices in AMD,,,,,,,,,,,
,,,,,,,,,,,
#,Product Name,Brand / Vendor,Category,"Buy Price
(AMD)","Sale Price
(AMD)",Margin %,Qty,"Total Cost
(AMD)","Total
(USD)",Priority,Notes
  Dry food — Dogs,,,,,,,,,,,
1,Brit S Adult 8kg,Brit / Joly Food,Dry food — Dogs,"15,120","18,900",20.0%,2,"30,240",78,⭐ Must have,Best seller small breeds — 25% margin
2,Brit M Adult 15kg,Brit / Joly Food,Dry food — Dogs,"23,600","29,500",20.0%,2,"47,200",122,⭐ Must have,Best seller medium breeds — 25% margin
3,Brit L Adult 15kg,Brit / Joly Food,Dry food — Dogs,"23,600","29,500",20.0%,2,"47,200",122,⭐ Must have,Best seller large breeds — 25% margin
4,Brit S Junior 8kg,Brit / Joly Food,Dry food — Dogs,"16,720","20,900",20.0%,1,"16,720",43,⭐ Must have,Puppy / junior small breeds
5,Brit M Junior 15kg,Brit / Joly Food,Dry food — Dogs,"27,920","34,900",20.0%,1,"27,920",72,⭐ Must have,Puppy / junior medium breeds
6,Brit Care Puppy Lamb/Rice 12kg,Brit / Joly Food,Dry food — Dogs,"36,640","45,800",20.0%,1,"36,640",95,🔵 High,Premium puppy line
7,Brit Care Medium Adult 12kg,Brit / Joly Food,Dry food — Dogs,"33,440","41,800",20.0%,1,"33,440",86,🔵 High,Premium adult medium
8,Brit Small Breed Adult Lamb 7.5kg,Brit / Joly Food,Dry food — Dogs,"23,600","29,500",20.0%,1,"23,600",61,🔵 High,Small/mini breeds
9,RC Mini Adult 8kg,Royal Canin,Dry food — Dogs,"23,000","26,500",13.2%,2,"46,000",119,⭐ Must have,Traffic driver — popular searched brand
10,RC Mini Puppy 8kg,Royal Canin,Dry food — Dogs,"25,000","29,000",13.8%,1,"25,000",65,⭐ Must have,Traffic driver — puppy owners search by brand
11,RC Medium Adult 15kg,Royal Canin,Dry food — Dogs,"39,500","45,500",13.2%,2,"79,000",204,⭐ Must have,Most popular RC dog product
12,RC Maxi Adult 15kg,Royal Canin,Dry food — Dogs,"39,500","45,500",13.2%,1,"39,500",102,🔵 High,Large breed owners loyal to RC
13,Farmina Ecopet Adult Mini 2.5kg,Farmina,Dry food — Dogs,"7,200","8,500",15.3%,2,"14,400",37,🟡 Medium,Budget-friendly Farmina entry product
14,Farmina Ecopet Adult Medium 2.5kg,Farmina,Dry food — Dogs,"7,200","8,500",15.3%,2,"14,400",37,🟡 Medium,Budget-friendly Farmina entry product
15,Farmina N&D Pumpkin Chick Mini 2.5kg,Farmina,Dry food — Dogs,"17,600","20,700",15.0%,1,"17,600",45,🔵 High,Premium grain-free — small breeds
16,Farmina N&D Pumpkin Chick M/M 2.5kg,Farmina,Dry food — Dogs,"17,600","20,700",15.0%,1,"17,600",45,🔵 High,Premium grain-free — med/maxi
17,Belcando Adult Dinner 12.5kg,Belcando / Pet House,Dry food — Dogs,"24,000","27,500",12.7%,1,"24,000",62,🟡 Medium,German premium — shelf presence
18,Belcando Adult GF Poultry 12.5kg,Belcando / Pet House,Dry food — Dogs,"31,500","36,500",13.7%,1,"31,500",81,🟡 Medium,Grain-free premium
,,,,,,,,,,,
  Dry food — Cats,,,,,,,,,,,
19,Brit Care Adult Cat 7kg,Brit / Joly Food,Dry food — Cats,"26,500","33,000",19.7%,2,"53,000",137,⭐ Must have,Core everyday cat — 20% margin
20,Brit Care Sterilised Cat 7kg,Brit / Joly Food,Dry food — Cats,"22,800","28,500",20.0%,2,"45,600",118,⭐ Must have,Sterilised = most common cat — 20%
21,Brit Premium Sterilised Cat 8kg,Brit / Joly Food,Dry food — Cats,"20,000","25,000",20.0%,1,"20,000",52,⭐ Must have,Budget sterilised — good volume
22,Brit Premium by Nature Kitten 8kg,Brit / Joly Food,Dry food — Cats,"22,400","28,000",20.0%,1,"22,400",58,⭐ Must have,Kitten starter — 20% margin
23,RC Sterilised Regular 15kg,Royal Canin,Dry food — Cats,"52,000","60,000",13.3%,1,"52,000",134,⭐ Must have,Most searched RC cat product — stock first
24,RC Kitten Second Age 10kg,Royal Canin,Dry food — Cats,"34,500","39,500",12.7%,1,"34,500",89,⭐ Must have,Kitten owners loyal to RC brand
25,RC Hairball Care 10kg,Royal Canin,Dry food — Cats,"34,500","39,500",12.7%,1,"34,500",89,⭐ Must have,Very common issue — high demand
26,RC Indoor 27 Home Life 10kg,Royal Canin,Dry food — Cats,"34,500","39,500",12.7%,1,"34,500",89,🔵 High,Indoor cats — big segment
27,RC Savour Exzigent 10kg,Royal Canin,Dry food — Cats,"34,500","39,500",12.7%,1,"34,500",89,🔵 High,Fussy eaters — common complaint
28,RC Maine Coon Adult 2kg,Royal Canin,Dry food — Cats,"9,000","10,500",14.3%,1,"9,000",23,🔵 High,Breed-specific — loyal buyers
29,RC Maine Coon Kitten 2kg,Royal Canin,Dry food — Cats,"9,000","10,500",14.3%,1,"9,000",23,🔵 High,Breed-specific — loyal buyers
30,RC Sterilised Regular 10+2kg,Royal Canin,Dry food — Cats,"9,000","10,500",14.3%,1,"9,000",23,🔵 High,Smaller pack sterilised — trial size
31,RC Persian Adult 10kg,Royal Canin,Dry food — Cats,"34,500","39,500",12.7%,1,"34,500",89,🟡 Medium,Breed-specific Persian owners
32,RC Urinary S/O Index Cat 7kg,Royal Canin,Dry food — Cats,"25,000","29,000",13.8%,1,"25,000",65,🟡 Medium,Vet recommended — prescription-like
33,RC Satiety Weight Mgmt Cat 3.5kg,Royal Canin,Dry food — Cats,"14,500","16,500",12.1%,1,"14,500",37,🟡 Medium,Weight management segment
34,RC Siamese Adult 2kg,Royal Canin,Dry food — Cats,"9,000","10,500",14.3%,1,"9,000",23,🟡 Medium,Breed-specific
35,RC Mini Indoor Adult 1.5kg,Royal Canin,Dry food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Small pack — good for first-time buyers
36,RC Mini Indoor Puppy 1.5kg,Royal Canin,Dry food — Cats,"7,500","8,600",12.8%,1,"7,500",19,🔵 High,Kitten small pack
37,Farmina Matisse Kitten 1.5kg,Farmina,Dry food — Cats,"9,000","10,600",15.1%,2,"18,000",47,🔵 High,Premium kitten
38,Farmina Matisse Neutered 1.5kg,Farmina,Dry food — Cats,"10,500","12,400",15.3%,2,"21,000",54,🔵 High,Neutered cat — very high demand
39,Farmina N&D Low Grain Cat 1.5kg,Farmina,Dry food — Cats,"12,000","14,100",14.9%,2,"24,000",62,🔵 High,Premium low grain cat
,,,,,,,,,,,
  Wet food — Cats,,,,,,,,,,,
40,Brit Care Fillets Jelly Turkey 85gr,Brit / Joly Food,Wet food — Cats,600,750,20.0%,24,"14,400",37,⭐ Must have,Best margin wet cat — 20%
41,Brit Premium Gravy Chicken Cat 85gr,Brit / Joly Food,Wet food — Cats,520,650,20.0%,24,"12,480",32,⭐ Must have,Best seller wet cat
42,Brit Premium Gravy Salmon Steril 85gr,Brit / Joly Food,Wet food — Cats,520,650,20.0%,12,"6,240",16,⭐ Must have,Sterilised cat wet food
43,RC Instinctive Gravy 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,3,"22,500",58,⭐ Must have,Most popular RC wet cat — always stock
44,RC Kitten Gravy 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,3,"22,500",58,⭐ Must have,Kitten wet — high demand
45,RC Sterilised Gravy 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,3,"22,500",58,⭐ Must have,Matches dry sterilised buyers
46,RC Sterilised Jelly 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Jelly alternative for sterilised
47,RC Instinctive Jelly 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Jelly lovers segment
48,RC Hairball Care Gravy 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Pairs with Hairball dry food
49,RC Sensory Smell 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Fussy eaters — newer popular line
50,RC Sensory Taste 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Fussy eaters — newer popular line
51,RC Renal Chicken Pouch 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,1,"7,500",19,🟡 Medium,Vet recommended renal diet
52,RC Urinary Care Gravy 12x85g,Royal Canin,Wet food — Cats,"7,500","8,600",12.8%,1,"7,500",19,🟡 Medium,Urinary health — common issue
53,RC Mother & Babycat Can 195g,Royal Canin,Wet food — Cats,"2,000","2,300",13.0%,6,"12,000",31,🟡 Medium,Mother cats and newborn kittens
54,RC Babycat Milk 300g,Royal Canin,Wet food — Cats,"8,000","9,200",13.0%,3,"24,000",62,🟡 Medium,Newborn kitten milk replacer
55,Schesir Tuna Jelly 85g,Schesir / R.Canin,Wet food — Cats,680,820,17.1%,24,"16,320",42,🔵 High,Natural premium wet cat
56,Schesir Chicken Whole Food 80g,Schesir / R.Canin,Wet food — Cats,730,880,17.0%,24,"17,520",45,🔵 High,Natural ingredients cat wet
57,Stuzzy Cat Bocconcini Chicken 85g,Schesir / R.Canin,Wet food — Cats,420,500,16.0%,24,"10,080",26,🔵 High,Affordable premium wet cat
58,Stuzzy Cat Bocconcini Salmon 85g,Schesir / R.Canin,Wet food — Cats,420,500,16.0%,24,"10,080",26,🔵 High,Affordable premium wet cat
59,Leonardo Pure Chicken 85g,Belcando / Pet House,Wet food — Cats,600,700,14.3%,12,"7,200",19,🟡 Medium,German premium wet cat
60,Leonardo Kitten Poultry 85g,Belcando / Pet House,Wet food — Cats,600,700,14.3%,12,"7,200",19,🟡 Medium,Premium kitten wet
,,,,,,,,,,,
  Wet food — Dogs,,,,,,,,,,,
61,Brit Premium 800gr Chicken w/Hearts,Brit / Joly Food,Wet food — Dogs,"1,760","2,200",20.0%,12,"21,120",55,⭐ Must have,High margin 20% — popular
62,Brit Premium 800gr Turkey w/Liver,Brit / Joly Food,Wet food — Dogs,"1,760","2,200",20.0%,12,"21,120",55,⭐ Must have,High margin 20% — popular
63,Brit Mono Protein Rabbit 400gr,Brit / Joly Food,Wet food — Dogs,"1,440","1,800",20.0%,12,"17,280",45,🔵 High,Sensitive / allergy dogs
64,Brit Mono Protein Beef & Rice 400gr,Brit / Joly Food,Wet food — Dogs,"1,440","1,800",20.0%,12,"17,280",45,🔵 High,Sensitive / allergy dogs
65,RC Mini Adult Gravy 12x85g,Royal Canin,Wet food — Dogs,"7,500","8,600",12.8%,3,"22,500",58,⭐ Must have,Most popular RC dog wet food
66,RC Mini Puppy Gravy 12x85g,Royal Canin,Wet food — Dogs,"7,500","8,600",12.8%,2,"15,000",39,🔵 High,Pairs with RC Mini Puppy dry
67,RC Medium Adult Gravy 10x140g,Royal Canin,Wet food — Dogs,"8,500","9,800",13.3%,2,"17,000",44,🔵 High,Medium breeds wet food
68,Stuzzy Dog Pate Chicken 150g,Schesir / R.Canin,Wet food — Dogs,500,600,16.7%,12,"6,000",16,🟡 Medium,Affordable wet dog food
69,Stuzzy Dog Pate Beef 150g,Schesir / R.Canin,Wet food — Dogs,500,600,16.7%,12,"6,000",16,🟡 Medium,Affordable wet dog food
70,Belcando Wet Chicken 300g,Belcando / Pet House,Wet food — Dogs,"1,200","1,400",14.3%,12,"14,400",37,🟡 Medium,Premium wet — German brand
71,Belcando Wet Beef 800g,Belcando / Pet House,Wet food — Dogs,"2,200","2,550",13.7%,6,"13,200",34,🟡 Medium,Large format premium wet
,,,,,,,,,,,
  Vitamins & supplements,,,,,,,,,,,
72,Canvit Multi for Dogs 100g,Canvit / Joly,Vitamins & supplements,"4,214","5,900",28.6%,6,"25,284",65,⭐ Must have,BEST MARGIN 29% — push with every order
73,Canvit Biotin for Dogs 100g,Canvit / Joly,Vitamins & supplements,"4,142","5,800",28.6%,6,"24,852",64,⭐ Must have,Coat & skin — very popular request
74,Canvit Chondro for Dogs 100g,Canvit / Joly,Vitamins & supplements,"5,357","7,500",28.6%,5,"26,785",69,⭐ Must have,Joint health — common in older dogs
75,Canvit Immuno for Dogs 100g,Canvit / Joly,Vitamins & supplements,"4,285","6,000",28.6%,5,"21,425",55,⭐ Must have,Immunity — easy upsell
76,Canvit Multi for Cats 100g,Canvit / Joly,Vitamins & supplements,"3,928","5,500",28.6%,5,"19,640",51,⭐ Must have,General cat vitamins — 29% margin
77,Canvit Biotin for Cats 100g,Canvit / Joly,Vitamins & supplements,"3,928","5,500",28.6%,5,"19,640",51,⭐ Must have,Cat coat & skin supplement
78,Canvit Chondro for Cats 100g,Canvit / Joly,Vitamins & supplements,"6,785","9,500",28.6%,3,"20,355",53,🔵 High,Cat joint support
79,Canvit Biotin Maxi Dogs 500g,Canvit / Joly,Vitamins & supplements,"10,000","14,000",28.6%,3,"30,000",78,🔵 High,Large size — better value for loyal buyers
80,Canvit Senior for Dogs 100g,Canvit / Joly,Vitamins & supplements,"4,357","6,100",28.6%,4,"17,428",45,🔵 High,Older dogs segment — growing
81,Salmon Oil 500ml,Brit / Joly Food,Vitamins & supplements,"7,920","9,900",20.0%,5,"39,600",102,⭐ Must have,High demand — easiest upsell at checkout
82,Multivitamin Pasta Cat 100gr,Brit / Joly Food,Vitamins & supplements,"4,080","5,100",20.0%,5,"20,400",53,🔵 High,Cats love paste format
83,Puppy Milk 500gr,Brit / Joly Food,Vitamins & supplements,"8,880","11,100",20.0%,3,"26,640",69,🔵 High,Niche — high value product
84,Kitten Milk 250gr,Brit / Joly Food,Vitamins & supplements,"7,920","9,900",20.0%,3,"23,760",61,🔵 High,Niche — high value product
,,,,,,,,,,,
  Treats — Dogs,,,,,,,,,,,
85,Schesir Dog Training Snack Chick 113g,Schesir / R.Canin,Treats — Dogs,"1,310","1,550",15.5%,6,"7,860",20,🔵 High,Great upsell with any dog food order
86,Schesir Dog Jerky Salmon 115g,Schesir / R.Canin,Treats — Dogs,"3,190","3,850",17.1%,3,"9,570",25,🔵 High,Premium treat — high perceived value
,,,,,,,,,,,
  Accessories,,,,,,,,,,,
87,Brit Cat Litter 5kg,Brit / Joly Food,Accessories,"4,000","5,000",20.0%,5,"20,000",52,🟡 Medium,Repeat purchase — good retention product
,,,,,,,,,,,
TOTAL  (87 products),,,,,,,,"1,917,619","$4,954",,
