# Royal Canin import plan — one row per CSV row (33 rows → 28 products).
# Rows sharing product_key become one product with several variants; the first
# row of a key is the default variant and supplies the product-level fields.
# Grouping follows reference/data-tables.md §2: lifestage + pack weight are
# variant axes; breed size is NOT (Mini/Medium/Maxi = separate products); a
# named breed groups a line. Lifestage is NOT a variant axis (user rule
# 2026-08-12): Puppy and Adult of the same line are separate products, because
# the packaging artwork/colour changes with lifestage. Variant axes = pack size,
# flavor and texture (gravy/jelly) — same bag, option named on a band.
# attrs = attribute_value_ids (ids from reference/attribute-values.json).
# sku: RC article code (wmsCode) when the site sells that exact pack, else
# BRAND-SLUG-WEIGHT per CLAUDE.md.
# pricing: per_kg = sold by weight (dry kibble) → the API takes `price_per_kg`
# (= price / weight_kg, 2dp) + `weight` and IGNORES `price`; product-weight is
# left off the attrs because the admin derives it from the pack weight.
# fixed = sold by the unit (pouch/can/multipack/tin) → `price` as before.
#
#product_key	product_name	slug	cat	fam	main	variant_label	sku	price	cost	stock	weight_kg	pricing	attrs	csv_row
mini-adult	Mini Adult 8kg	royal-canin-mini-adult-8kg	3	1	3001	8 kg	1024080	26500	23000	2	8	per_kg	{"food-form":17,"lifestage":27,"breed-size":31}	9
mini-puppy	Mini Puppy 8kg	royal-canin-mini-puppy-8kg	3	1	3000	8 kg	1002080	29000	25000	1	8	per_kg	{"food-form":17,"lifestage":25,"breed-size":31,"health-feature":119}	10
medium	Medium Adult 15kg	royal-canin-medium-adult-15kg	3	1	3004	15 kg	1223150	45500	39500	2	15	per_kg	{"food-form":17,"lifestage":27,"breed-size":32,"health-feature":124}	11
maxi	Maxi Adult 15kg	royal-canin-maxi-adult-15kg	3	1	3007	15 kg	1423150	45500	39500	1	15	per_kg	{"food-form":17,"lifestage":27,"breed-size":33,"health-feature":111}	12
mini-indoor-adult	Mini Indoor Adult 1.5kg	royal-canin-mini-indoor-adult-1-5kg	3	1	2434	1.5 kg	RC-MINI-INDOOR-ADULT-1.5KG	8600	7500	2	1.5	per_kg	{"food-form":17,"lifestage":27,"breed-size":31,"special-diet":78,"health-feature":111}	35
mini-indoor-puppy	Mini Indoor Puppy 1.5kg	royal-canin-mini-indoor-puppy-1-5kg	3	1	2433	1.5 kg	RC-MINI-INDOOR-PUPPY-1.5KG	8600	7500	1	1.5	per_kg	{"food-form":17,"lifestage":25,"breed-size":31,"special-diet":78,"health-feature":119}	36
mini-wet-adult	Mini Adult Gravy 12x85g	royal-canin-mini-adult-gravy-12x85g	4	2	1096	12 x 85 g	1890021	8600	7500	3	1.02	fixed	{"food-form":18,"lifestage":27,"breed-size":31,"texture":139}	65
mini-wet-puppy	Mini Puppy Gravy 12x85g	royal-canin-mini-puppy-gravy-12x85g	4	2	1099	12 x 85 g	1890011	8600	7500	2	1.02	fixed	{"food-form":18,"lifestage":25,"breed-size":31,"texture":139,"health-feature":119}	66
medium-wet	Medium Adult Gravy 10x140g	royal-canin-medium-adult-gravy-10x140g	4	2	1095	10 x 140 g	1890051	9800	8500	2	1.4	fixed	{"food-form":18,"lifestage":27,"breed-size":32,"texture":139,"health-feature":124}	67
sterilised-37	Sterilised 37	royal-canin-sterilised-37	10	1	2537	15 kg	RC-STERILISED-37-15KG	60000	52000	1	15	per_kg	{"food-form":17,"lifestage":27,"special-diet":102,"health-feature":137,"product-weight":15}	23
